Ingreso Silo 101 Time;Ingreso Silo 101;Ingreso Materia Prima Time;Ingreso Materia Prima;Descarte Zaranda Time;Descarte Zaranda;Ingreso Silo de tempering Time;Ingreso Silo de tempering
16/12/2024 11:27:28 a.m.;0;16/12/2024 11:27:28 a.m.;0;16/12/2024 11:27:28 a.m.;0;16/12/2024 11:27:28 a.m.;0
16/12/2024 11:28:28 a.m.;0;16/12/2024 11:28:28 a.m.;0;16/12/2024 11:28:28 a.m.;0;16/12/2024 11:28:28 a.m.;0
16/12/2024 11:29:28 a.m.;0;16/12/2024 11:29:28 a.m.;0;16/12/2024 11:29:28 a.m.;0;16/12/2024 11:29:28 a.m.;0
16/12/2024 11:30:28 a.m.;0;16/12/2024 11:30:28 a.m.;0;16/12/2024 11:30:28 a.m.;0;16/12/2024 11:30:28 a.m.;0
16/12/2024 11:31:28 a.m.;0;16/12/2024 11:31:28 a.m.;0;16/12/2024 11:31:28 a.m.;0;16/12/2024 11:31:28 a.m.;0
16/12/2024 11:32:28 a.m.;0;16/12/2024 11:32:28 a.m.;0;16/12/2024 11:32:28 a.m.;0;16/12/2024 11:32:28 a.m.;0
16/12/2024 11:33:28 a.m.;0;16/12/2024 11:33:28 a.m.;0;16/12/2024 11:33:28 a.m.;0;16/12/2024 11:33:28 a.m.;0
16/12/2024 11:34:28 a.m.;0;16/12/2024 11:34:28 a.m.;0;16/12/2024 11:34:28 a.m.;0;16/12/2024 11:34:28 a.m.;0
16/12/2024 11:35:28 a.m.;0;16/12/2024 11:35:28 a.m.;0;16/12/2024 11:35:28 a.m.;0;16/12/2024 11:35:28 a.m.;0
16/12/2024 11:36:28 a.m.;0;16/12/2024 11:36:28 a.m.;0;16/12/2024 11:36:28 a.m.;0;16/12/2024 11:36:28 a.m.;0
16/12/2024 11:37:28 a.m.;0;16/12/2024 11:37:28 a.m.;0;16/12/2024 11:37:28 a.m.;0;16/12/2024 11:37:28 a.m.;0
16/12/2024 11:38:28 a.m.;0;16/12/2024 11:38:28 a.m.;0;16/12/2024 11:38:28 a.m.;0;16/12/2024 11:38:28 a.m.;0
16/12/2024 11:39:28 a.m.;0;16/12/2024 11:39:28 a.m.;0;16/12/2024 11:39:28 a.m.;0;16/12/2024 11:39:28 a.m.;0
16/12/2024 11:40:28 a.m.;0;16/12/2024 11:40:28 a.m.;0;16/12/2024 11:40:28 a.m.;0;16/12/2024 11:40:28 a.m.;0
16/12/2024 11:41:28 a.m.;0;16/12/2024 11:41:28 a.m.;0;16/12/2024 11:41:28 a.m.;0;16/12/2024 11:41:28 a.m.;0
16/12/2024 11:42:28 a.m.;0;16/12/2024 11:42:28 a.m.;0;16/12/2024 11:42:28 a.m.;0;16/12/2024 11:42:28 a.m.;0
16/12/2024 11:43:28 a.m.;0;16/12/2024 11:43:28 a.m.;0;16/12/2024 11:43:28 a.m.;0;16/12/2024 11:43:28 a.m.;0
16/12/2024 11:44:28 a.m.;0;16/12/2024 11:44:28 a.m.;0;16/12/2024 11:44:28 a.m.;0;16/12/2024 11:44:28 a.m.;0
16/12/2024 11:45:28 a.m.;0;16/12/2024 11:45:28 a.m.;0;16/12/2024 11:45:28 a.m.;0;16/12/2024 11:45:28 a.m.;0
16/12/2024 11:46:28 a.m.;0;16/12/2024 11:46:28 a.m.;0;16/12/2024 11:46:28 a.m.;0;16/12/2024 11:46:28 a.m.;0
16/12/2024 11:47:28 a.m.;0;16/12/2024 11:47:28 a.m.;0;16/12/2024 11:47:28 a.m.;0;16/12/2024 11:47:28 a.m.;0
16/12/2024 11:48:28 a.m.;0;16/12/2024 11:48:28 a.m.;0;16/12/2024 11:48:28 a.m.;0;16/12/2024 11:48:28 a.m.;0
16/12/2024 11:49:28 a.m.;0;16/12/2024 11:49:28 a.m.;0;16/12/2024 11:49:28 a.m.;0;16/12/2024 11:49:28 a.m.;0
16/12/2024 11:50:28 a.m.;0;16/12/2024 11:50:28 a.m.;0;16/12/2024 11:50:28 a.m.;0;16/12/2024 11:50:28 a.m.;0
16/12/2024 11:51:28 a.m.;0;16/12/2024 11:51:28 a.m.;0;16/12/2024 11:51:28 a.m.;0;16/12/2024 11:51:28 a.m.;0
16/12/2024 11:52:28 a.m.;0;16/12/2024 11:52:28 a.m.;0;16/12/2024 11:52:28 a.m.;0;16/12/2024 11:52:28 a.m.;0
16/12/2024 11:53:28 a.m.;0;16/12/2024 11:53:28 a.m.;0;16/12/2024 11:53:28 a.m.;0;16/12/2024 11:53:28 a.m.;0
16/12/2024 11:54:28 a.m.;0;16/12/2024 11:54:28 a.m.;0;16/12/2024 11:54:28 a.m.;0;16/12/2024 11:54:28 a.m.;0
16/12/2024 11:55:28 a.m.;0;16/12/2024 11:55:28 a.m.;0;16/12/2024 11:55:28 a.m.;0;16/12/2024 11:55:28 a.m.;0
16/12/2024 11:56:28 a.m.;0;16/12/2024 11:56:28 a.m.;0;16/12/2024 11:56:28 a.m.;0;16/12/2024 11:56:28 a.m.;0
16/12/2024 11:57:28 a.m.;0;16/12/2024 11:57:28 a.m.;0;16/12/2024 11:57:28 a.m.;0;16/12/2024 11:57:28 a.m.;0
16/12/2024 11:58:28 a.m.;0;16/12/2024 11:58:28 a.m.;0;16/12/2024 11:58:28 a.m.;0;16/12/2024 11:58:28 a.m.;0
16/12/2024 11:59:28 a.m.;0;16/12/2024 11:59:28 a.m.;0;16/12/2024 11:59:28 a.m.;0;16/12/2024 11:59:28 a.m.;0
16/12/2024 12:00:28 p.m.;0;16/12/2024 12:00:28 p.m.;0;16/12/2024 12:00:28 p.m.;0;16/12/2024 12:00:28 p.m.;0
16/12/2024 12:01:28 p.m.;0;16/12/2024 12:01:28 p.m.;0;16/12/2024 12:01:28 p.m.;0;16/12/2024 12:01:28 p.m.;0
16/12/2024 12:02:28 p.m.;0;16/12/2024 12:02:28 p.m.;0;16/12/2024 12:02:28 p.m.;0;16/12/2024 12:02:28 p.m.;0
16/12/2024 12:03:28 p.m.;0;16/12/2024 12:03:28 p.m.;0;16/12/2024 12:03:28 p.m.;0;16/12/2024 12:03:28 p.m.;0
16/12/2024 12:04:28 p.m.;0;16/12/2024 12:04:28 p.m.;0;16/12/2024 12:04:28 p.m.;0;16/12/2024 12:04:28 p.m.;0
