Fecha y Hora;Temperatura (°C)
16/12/2024 12:03:00 AM;7.19
16/12/2024 12:29:00 AM;10.24
16/12/2024 12:48:00 AM;16.19
16/12/2024 01:12:00 AM;9.77
16/12/2024 01:37:00 AM;8.16
16/12/2024 01:54:00 AM;1.84
16/12/2024 02:00:00 AM;10.83
16/12/2024 02:15:00 AM;8.15
16/12/2024 02:39:00 AM;13.38
16/12/2024 02:48:00 AM;15.86
16/12/2024 03:15:00 AM;13.62
16/12/2024 03:39:00 AM;6.77
16/12/2024 03:50:00 AM;1.96
16/12/2024 04:12:00 AM;14.52
16/12/2024 04:14:00 AM;17.58
16/12/2024 04:38:00 AM;11.62
16/12/2024 04:52:00 AM;0.88
16/12/2024 05:12:00 AM;0.62
16/12/2024 05:33:00 AM;4.25
16/12/2024 06:03:00 AM;1.11
16/12/2024 06:25:00 AM;6.21
16/12/2024 06:52:00 AM;17.09
16/12/2024 07:21:00 AM;5.69
16/12/2024 07:51:00 AM;9.6
16/12/2024 07:59:00 AM;16.55
16/12/2024 08:11:00 AM;7.05
16/12/2024 08:39:00 AM;9.02
16/12/2024 08:53:00 AM;1.87
16/12/2024 09:22:00 AM;2.17
16/12/2024 09:25:00 AM;14.95
16/12/2024 09:52:00 AM;1.06
16/12/2024 10:15:00 AM;17.78
16/12/2024 10:17:00 AM;10.4
16/12/2024 10:29:00 AM;6.09
16/12/2024 10:45:00 AM;16.44
16/12/2024 10:56:00 AM;13.8
16/12/2024 11:26:00 AM;11.01
16/12/2024 11:53:00 AM;7.13
16/12/2024 12:18:00 PM;4.82
16/12/2024 12:29:00 PM;9.11
16/12/2024 12:46:00 PM;6.97
16/12/2024 12:57:00 PM;17.16
16/12/2024 12:58:00 PM;17.72
16/12/2024 01:21:00 PM;5.54
16/12/2024 01:44:00 PM;16.27
16/12/2024 02:05:00 PM;3.82
16/12/2024 02:07:00 PM;6.67
16/12/2024 02:12:00 PM;10.83
16/12/2024 02:38:00 PM;0.06
